epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.23289504647254944,4.596160411834717,0.001,0.3170151114463806,3.6347579956054688
1,0.33148494362831116,3.4728665351867676,0.001,0.3575880527496338,3.169389247894287
2,0.35992997884750366,3.1517786979675293,0.001,0.38299256563186646,2.9171664714813232
3,0.37871137261390686,2.956650972366333,0.001,0.39908531308174133,2.7506749629974365
4,0.3924735486507416,2.8130900859832764,0.001,0.4149377942085266,2.611372709274292
5,0.4028850793838501,2.7013089656829834,0.001,0.4261976182460785,2.5035719871520996
6,0.41148531436920166,2.6091978549957275,0.001,0.4357602298259735,2.4143362045288086
7,0.4203771948814392,2.529317617416382,0.001,0.44766464829444885,2.3370602130889893
8,0.42762401700019836,2.460232973098755,0.001,0.45881056785583496,2.2522544860839844
9,0.43508315086364746,2.3972716331481934,0.001,0.4667164981365204,2.196173906326294
10,0.4422287940979004,2.340322971343994,0.001,0.4751078188419342,2.1330010890960693
11,0.4486609995365143,2.290062427520752,0.001,0.481251060962677,2.0941736698150635
12,0.45489299297332764,2.2449417114257812,0.001,0.49017533659935,2.0360562801361084
13,0.46002858877182007,2.2028305530548096,0.001,0.4976588189601898,1.997955322265625
14,0.46613842248916626,2.162864923477173,0.001,0.5049090385437012,1.9589251279830933
15,0.470541775226593,2.1331632137298584,0.001,0.5105519890785217,1.9212955236434937
16,0.4748564064502716,2.0987277030944824,0.001,0.5137581825256348,1.889032244682312
17,0.47958460450172424,2.070040225982666,0.001,0.5195087790489197,1.8621690273284912
18,0.48342573642730713,2.0418906211853027,0.001,0.5268442630767822,1.8285361528396606
19,0.4878230690956116,2.0176150798797607,0.001,0.5317798852920532,1.8031727075576782
20,0.48972800374031067,1.9960265159606934,0.001,0.5349937081336975,1.7817370891571045
21,0.49416378140449524,1.972985029220581,0.001,0.5390841960906982,1.7559516429901123
22,0.49740490317344666,1.9540117979049683,0.001,0.544194757938385,1.7356793880462646
23,0.49955275654792786,1.9377789497375488,0.001,0.5475974678993225,1.7175112962722778
24,0.5031997561454773,1.9180806875228882,0.001,0.5515854954719543,1.6943451166152954
25,0.5056458711624146,1.9009636640548706,0.001,0.5557939410209656,1.672956943511963
26,0.5087995529174805,1.8846651315689087,0.001,0.5597268342971802,1.6548210382461548
27,0.5104027390480042,1.8707443475723267,0.001,0.5625074505805969,1.642917275428772
28,0.5138882994651794,1.85426926612854,0.001,0.5632128119468689,1.635650873184204
29,0.514516294002533,1.8449692726135254,0.001,0.5662980675697327,1.617503046989441
30,0.5179895758628845,1.830915093421936,0.001,0.570811927318573,1.5979993343353271
31,0.5194095373153687,1.819578766822815,0.001,0.5722480416297913,1.5915355682373047
32,0.5207677483558655,1.8094981908798218,0.001,0.5751727819442749,1.5759799480438232
33,0.5229319334030151,1.7982348203659058,0.001,0.5789449214935303,1.561500072479248
34,0.5241879820823669,1.786189317703247,0.001,0.5801043510437012,1.5481452941894531
35,0.5274343490600586,1.7757569551467896,0.001,0.5818145871162415,1.5364537239074707
36,0.5292433500289917,1.7639458179473877,0.001,0.5848208069801331,1.5267467498779297
37,0.5297694206237793,1.760511875152588,0.001,0.5886480808258057,1.5140445232391357
38,0.5315555334091187,1.748153567314148,0.001,0.5886922478675842,1.508553147315979
39,0.5329064726829529,1.7385194301605225,0.001,0.5924813747406006,1.493863582611084
40,0.5342784523963928,1.732121229171753,0.001,0.594753623008728,1.4869931936264038
41,0.5364308953285217,1.724067211151123,0.001,0.5958757996559143,1.480271816253662
42,0.5370088219642639,1.7160910367965698,0.001,0.598966121673584,1.4708166122436523
43,0.5391698479652405,1.709205985069275,0.001,0.5997707843780518,1.4654407501220703
44,0.5402403473854065,1.7032873630523682,0.001,0.6024208664894104,1.4478709697723389
45,0.5415142774581909,1.6955548524856567,0.001,0.6033492684364319,1.4497737884521484
46,0.5424457788467407,1.6886096000671387,0.001,0.6047261357307434,1.4374113082885742
47,0.5440324544906616,1.6804234981536865,0.001,0.6078550815582275,1.42042076587677
48,0.5451638102531433,1.6748086214065552,0.001,0.6099375486373901,1.4169118404388428
49,0.5465920567512512,1.6677463054656982,0.001,0.6115331649780273,1.4140541553497314
50,0.5469896793365479,1.665464997291565,0.001,0.6120493412017822,1.4096415042877197
51,0.54849773645401,1.6564059257507324,0.001,0.6117916703224182,1.40131413936615
52,0.5490590929985046,1.652463436126709,0.001,0.6140797138214111,1.390689730644226
53,0.549641489982605,1.6478995084762573,0.001,0.6169880032539368,1.3898813724517822
54,0.5511013865470886,1.641488790512085,0.001,0.6165656447410583,1.3861159086227417
55,0.5515874624252319,1.6358673572540283,0.001,0.6194005012512207,1.3704270124435425
56,0.5528945922851562,1.6313985586166382,0.001,0.6186337471008301,1.3762961626052856
57,0.5534911751747131,1.6268503665924072,0.001,0.6221362352371216,1.3575098514556885
58,0.5546024441719055,1.620613694190979,0.001,0.6227312088012695,1.3602685928344727
59,0.5561792850494385,1.6173232793807983,0.001,0.6230232119560242,1.350264310836792
60,0.5573846101760864,1.6092561483383179,0.001,0.6239359974861145,1.3531759977340698
61,0.5568962097167969,1.6076799631118774,0.001,0.6271102428436279,1.3379690647125244
62,0.5576749444007874,1.6027029752731323,0.001,0.6275460720062256,1.3348685503005981
63,0.5588082075119019,1.5988574028015137,0.001,0.6286115050315857,1.328892707824707
64,0.5603120923042297,1.592747688293457,0.001,0.629970371723175,1.3260691165924072
65,0.5604445338249207,1.592394471168518,0.001,0.6302077174186707,1.3225430250167847
66,0.5617042779922485,1.5866780281066895,0.001,0.6309589147567749,1.318038821220398
67,0.5627181529998779,1.580271601676941,0.001,0.6334677934646606,1.3069926500320435
68,0.5621190667152405,1.5810779333114624,0.001,0.6323835849761963,1.3130110502243042
69,0.5631194114685059,1.576298713684082,0.001,0.6344636678695679,1.3061323165893555
70,0.5644641518592834,1.5705689191818237,0.001,0.6356318593025208,1.2936962842941284
71,0.5644757747650146,1.5677156448364258,0.001,0.6346940398216248,1.2970640659332275
72,0.5662937164306641,1.5625108480453491,0.001,0.6385555863380432,1.2899786233901978
73,0.5667579770088196,1.5597816705703735,0.001,0.6395423412322998,1.2845228910446167
74,0.5675826072692871,1.5560749769210815,0.001,0.6394628882408142,1.282098650932312
75,0.5669438242912292,1.5549064874649048,0.001,0.6430968046188354,1.275012731552124
76,0.5683778524398804,1.548374056816101,0.001,0.6410459280014038,1.2793978452682495
77,0.5688539147377014,1.549108624458313,0.001,0.6428168416023254,1.2697579860687256
78,0.569101870059967,1.5456695556640625,0.001,0.6427074074745178,1.267586350440979
79,0.5692134499549866,1.542534589767456,0.001,0.645257830619812,1.2663164138793945
80,0.5705488324165344,1.5373605489730835,0.001,0.6454850435256958,1.257778286933899
81,0.5722662806510925,1.532940149307251,0.001,0.6456333994865417,1.2578364610671997
82,0.5708766579627991,1.5339610576629639,0.001,0.6480653285980225,1.2425222396850586
83,0.5721413493156433,1.5271257162094116,0.001,0.6465664505958557,1.2586146593093872
84,0.5734370350837708,1.5269596576690674,0.001,0.6499594449996948,1.242000699043274
85,0.5734403133392334,1.5244935750961304,0.001,0.6476259231567383,1.2502386569976807
86,0.5751485228538513,1.5172361135482788,0.001,0.6503855586051941,1.230061650276184
87,0.5743452310562134,1.5193144083023071,0.001,0.6496981978416443,1.2424834966659546
88,0.5742440223693848,1.5159697532653809,0.001,0.6505491137504578,1.2340469360351562
89,0.575378954410553,1.5120019912719727,0.001,0.6520742774009705,1.23375403881073
90,0.5755860209465027,1.5116907358169556,0.001,0.6535046696662903,1.22538161277771
91,0.5768199563026428,1.5036898851394653,0.001,0.6532561779022217,1.2253423929214478
92,0.5770246982574463,1.5045995712280273,0.001,0.6547099351882935,1.2213237285614014
93,0.5770295262336731,1.50480318069458,0.001,0.6553255319595337,1.2188640832901
94,0.5786775946617126,1.4978967905044556,0.001,0.6550209522247314,1.2156026363372803
95,0.5785166621208191,1.496551275253296,0.001,0.6563205122947693,1.2128218412399292
96,0.5784634351730347,1.4961787462234497,0.001,0.6573124527931213,1.2099438905715942
97,0.5798030495643616,1.492517113685608,0.001,0.6591308116912842,1.204917311668396
98,0.5803011655807495,1.4912248849868774,0.001,0.6572980284690857,1.2086005210876465
99,0.5806782841682434,1.487820029258728,0.001,0.6599127054214478,1.2012518644332886
100,0.5803345441818237,1.4866139888763428,0.001,0.660182774066925,1.1968013048171997
101,0.5802124738693237,1.486833095550537,0.001,0.6603087782859802,1.1959668397903442
102,0.5815287232398987,1.4806621074676514,0.001,0.6580182909965515,1.2057925462722778
103,0.5820770263671875,1.4793707132339478,0.001,0.662784993648529,1.1855543851852417
104,0.5824352502822876,1.477338433265686,0.001,0.6617085337638855,1.1916817426681519
105,0.5815789699554443,1.4775443077087402,0.001,0.6643006801605225,1.1844260692596436
106,0.5845983028411865,1.4705321788787842,0.001,0.6626063585281372,1.1866936683654785
107,0.5842979550361633,1.470415472984314,0.001,0.6660300493240356,1.1748744249343872
108,0.584320604801178,1.467286229133606,0.001,0.6647059321403503,1.183686375617981
109,0.5847837924957275,1.4683384895324707,0.001,0.6637502908706665,1.1881537437438965
110,0.5846614837646484,1.4644122123718262,0.001,0.6671541929244995,1.1696738004684448
111,0.5841702818870544,1.4665241241455078,0.001,0.6647792458534241,1.1730467081069946
112,0.5856070518493652,1.4614707231521606,0.001,0.6660228371620178,1.1776903867721558
113,0.5863242745399475,1.4593111276626587,0.001,0.6643447875976562,1.1782581806182861
